stat, value, width, code, quant, switch
Cloud, 825.76,7,J{C*7JW}AJ,2150,On
Fog, 947.92,5,F{Y*0RA}MF,205,On
Sun, 965.40,8,P{t*7HZ}DJ,1404,Off
Breeze,1020.55,7,B{Tf5XX}KD,1384,Off
Fog,1034.99,5,K{B*3RW}ND,2238,Off
Sleet, 254.85,7,Q{I*5ZL}RI,1534,On
Sleet, 152.08,6,U{N*5DU}KP,1703,On
Fog,1090.91,8,I{F*8UO}OO,1688,On
Sky, 683.82,20,A{Y*2MM}ZM,2062,Off
Fog, 364.45,8,V{N*2TS}SU,91,Off
Mist,  95.02,8,P{T*rAJ}ZX,2163,On
Rain, 695.49,8,Y{U*6TE}ZK,1480,On
Sun, 275.32,5,S{A*8TL}SW,3,Off
Sun, 713.01,5,Y{Q*3RI}TT,1443,On
Rain, 354.51,7,W{T3CN}AT,2284,On
Cloud,1074.53,7,V{O*8F]}SK,1102,On
Sleet,1069.51,7,V{R*1SJ}BB,2232,On
Snow, 394.84,8,S{R*0YD}AW,1710,On
Sun, 734.94,5,O{Q*0FJ}RU,1407,Off
Rain, 531.69,5,S{N*9FX}BC,1407,On
Sleet, 931.73,6,N{U*0KW}LZ,743,On
Sleet, 977.95,7,E{G*7WX}QB,549,On
Fog, 895.57,8,W{O*3NA}YP,2034,On
Rain,  32.83,6,Z{Q*0LI}LS,1237,On
Fog, 125.85,7,M{Z*2SD}PL,1603,Off
Breeze, 968.88,6,Y{V*7TZ}BF,1577,On
Shower, 523.91,10,M{R*8JK}VC,1832,On
Breeze, 347.16,5,L{E*2GV}hW,1986,On
Fog, 959.23,7,Y{Q*77H}GP,108,Off
Cloud, 906.35,13,I{T*8IJ}JE,370,Off
Sky,1153.44,7,I{M*3CO}HN,2206,On
Mist,1062.62,13,U{E*8CS}FU,1393,On
Rain, 866.66,7,P{W*2UQ}MK,1576,On
Hail, 964.41,7,Y{D*3SMCI,1853,On
Fog, 107.21,8,V{J*5HY}KM,1978,Off
Moon, 807.81,10,R{R*0HN}DW,1905,On
Rain, 115.18,7,J{R*5KC}LJ,1956,On
Sleet, 642.60,5,K{G*3XK}TO,2078,On
Fog, 663.75,5,H{C*0WC}PA,1874,On
Fog, 611.84,7,Y{N*9HM}FE,1795,On
Hail, 226.62,7,P{I*7PA}>P,1501,On
Fog, 906.80,7,E{V*1IT}FQ,991,On
Wind, 479.64,6,N{I*6XF}WM,1572,Off
Cloud, 867.27,21,Y{E*5PP}FF,2053,On
Fog,1101.42,24,U{T*3MO}WC,2153,Off
Wind,  96.66,8,Z{C*1PN}TV,1691,On
Breeze,  60.83,7,A{X*8GQ}AO,2190,On
Snow,1123.87,7,G{Y*3KNAP,74,On
Fog, 927.83,6,N{G*1HX}CT,568,On
Sleet, 762.20,6,X{K*2VL}QG,1784,On
Rain,1153.34,6,Q{N*8KR}NX,1115,On
Rain, 749.29,14,L{V*7MK}OY,2020,On
Fog, 236.12,5,G{P*8XP}HD,1319,Off
Snow, 413.90,5,C{Q*6XR}EB,319,Off
Sleet, 946.56,5,Y{W*2WM}BD,1380,On
Sun, 983.81,8,V{Z*2ON}GT,1886,On
Sleet,1025.85,6,G{U*3UJ}GX,661,On
Sun, 733.43,5,O{G*3QA}BY,128,On
Snow, 995.02,10,Y{R*s5HP}YK,429,On
Cloud, 536.49,5,W{7*9IB}QR,1877,Off
Breeze, 676.04,7,X{V*1VO}MQ,2109,On
Fog, 635.92,8,T{R*9XV}SU,697,On
Cloud,  54.85,6,L{R*2LX}ZR,2172,On
Mist,1181.01,5,Z{A*GK}WY,1366,Off
Snow, 737.25,6,K{I*8LR}HY,2040,On
Hail, 358.77,8,S{H*2VT}MY,1556,On
Fog, 524.60,6,T{R*3QP}FD,167,On
Cloud, 118.39,5,IZ{B*4ZW}UR,2138,On
Fog,1156.83,7,U{A*6NC}YY,2253,On
Mist, 403.01,5,S{Z*7OW}YY,754,On
Shower, 298.49,6,I{O*7NP}VT,1320,On
Snow,1156.67,10,S{7*3FF}GP,275,Off
Sun, 225.55,7,J{D*3IZ}GJ,1642,On
Hail, 251.93,8,A{O*9CV}XZ,998,On
Wind, 906.60,19,P{G*6IL}BC,1857,On
Fog, 392.73,7,S{R*0RU}LN,1984,On
Breeze,  34.52,17,T{G*6QS}PH,1937,On
Wind, 347.54,6,S{Q*0CR}NB,1910,On
Sleet, 537.40,6,S{V*1MZ}CD,2130,On
Fog, 743.59,6,I{V*6gJ}MO,777,On
Rain, 661.55,5,X{A*4GM}DZ,1105,On
Cloud, 267.59,24,I{U*8DV}KD,1387,On
Mist, 208.70,7,V{S*2HP}KM,1530,On
Shower, 686.46,8,Z{Q*2LS}BQ,805,On
Cloud, 848.42,16,O{X*7FQ}NW,1678,On
Sun, 659.31,19,W{C*9MC}OQ,1761,On
Sky,  19.96,22,F{9*8PO}QU,1930,On
Fog, 931.80,5,I{H*4NF}YY,2010,On
Shower, 666.11,5,L{Z*8PPHXP,722,On
Moon,1071.43,7,H{U*0NU}YP,662,On
Sleet, 221.63,23,P{L*3NW}RR,2194,On
Sleet,1133.99,8,]{K*1FC}GK,1622,On
Fog, 467.38,7,Y{J*7MU}CJ,612,On
Shower,  29.65,5,O{M6ZF}MS,1295,On
Cloud,1014.29,7,Y{W*6LR}UB,55,On
Sun, 690.86,8,K{T*3CZ}CP,1129,Off
Fog, 653.43,6,M{J*1ME}TZ,373,On
Fog, 399.70,15,D{H*2MM}IL,60,On
Sun,1191.87,11,Z{H*9IC}NJ,1657,On
Snow,1185.61,5,B{A*7OS}CB,246,On
Moon, 409.83,8,X{H*9YU}PQ,1888,On
Sun, 820.32,5,H{F*6JD}XW,1441,On
Shower,1128.19,9,X{D*3FW}ZQ,985,On
Snow, 978.45,6,O{U*5ZP}BU,1550,On
Sleet, 624.68,6,iT{Q*1YD}YR,30,On
Sun,1083.48,7,D2L*8UE}BV,516,On
Rain, 351.23,8,Z{L*9RF}JM,533,On
Snow, 815.61,7,E{Q*7QE}BF,634,On
Fog, 768.10,6,S{I*0CN}GB,2012,On
Rain, 250.96,6,I{J*3OJ}NU,1744,On
Fog, 862.69,6,J{G*5FN}ZV,379,Off
Shower, 893.05,8,F{W*6HE}YT,586,On
Fog, 832.27,20,X{F*8DN}DM,2152,On
Rain, 346.71,5,Y{UO6RJ}XK,2044,On
Sleet, 562.47,6,H{W*6FN}PZ,728,On
Snow, 581.83,5,B{R*9JC}JM,1435,On
Wind, 652.03,6,M{Y*7NA}AB,160,On
Rain,1155.92,7,U{E*9GX}XJ,2288,On
Snow,1109.61,17,W{#L*1JD}EL,2,On
Shower,1107.82,5,V{U*4VL}EO,1931,On
Fog, 815.64,7,U{P*9NQ}GL,2173,On
Wind,1157.05,11,B{M*9ZU}OW,1614,On
Hail,1065.94,7,G{O*7TA}AS,1382,On
Cloud, 154.71,5,V{W*2FR}VC,2269,On
Breeze, 817.10,8,X{T*6CC}FY,1785,On
Mist,1044.55,5,U{G*8OG}AL,404,On
Rain, 533.82,10,B{B*5AQ}5OD,684,On
Breeze, 915.19,8,N{A*9HTsXI,2247,On
Sun,  92.29,20,L{D*6ZQ}RV,1470,On
Sky, 428.85,8,t{V*3BV}NL,342,On
Shower,1012.56,17,T{E*5JW}YV,498,On
Rain,1051.02,5,N{N*3AF}WN,770,On
Hail,1126.34,5,H{S*2AP}GO,1757,On
Fog,1053.54,7,C{W*9UJ}LA,1982,On
Snow, 130.50,5,Q{Z*1OV}LA,1785,On
Sun, 471.30,7,B{K*5ZA1WB,405,On
Moon, 394.32,6,S{C*8KA}TF,1087,On
Rain, 727.52,6,B{O*1YB}LF,790,On
Rain, 417.16,5,P{R*5JG}QT,2041,On
Cloud, 718.37,8,X{P*9HU}HE,1670,Off
Rain, 131.70,8,Y{K*9PO}WL,2158,On
Cloud, 874.97,5,O{L*0A}IG,596,On
Fog, 672.98,8,O{E*0YU}VL,1463,On
Breeze, 649.83,16,X{D*0BA}KX,1412,On
Hail, 776.01,7,D{M*1AH}BT,1158,On
Wind,1180.75,5,N{O*5IP}KW,1845,Off
Fog, 970.30,7,Q{P*9DZ}IG,1661,On
Fog, 438.60,24,V{Q*7BK}AD,148,On
Rain, 575.08,21,L{U*2ML}MJ,1661,On
Cloud, 555.03,5,C{E*5YI}WS,1371,Off
Cloud,1168.48,7,D{S*1KD}JX,405,On
Shower,1024.09,6,O{E*6BE}UZ,1543,On
Shower, 339.39,6,N{Q*]EU}AY,1664,On
Cloud, 568.34,6,E{A*6VH}TL,316,On
Fog,1160.51,8,B{K*8AG}HK,263,On
Fog, 964.93,5,V{D*9BD}KL,1683,On
Hail, 440.84,6,A{Y*6AE}LS,1727,On
Snow, 977.72,5,S{K*7%S}QV,1660,On
Rain,1006.84,8,S{H*8TS}OB,1722,On
Breeze,1215.13,6,N{P*8DB}RV,1886,Off
Shower, 970.75,18,A{X*2CM}RS,2238,On
Wind, 360.07,6,L{X*8SE}YR,859,On
Rain, 763.18,6,Q{P*0TW}II,43,On
Rain, 901.82,5,V{Z*4TI}EI,2017,On
Hail, 760.09,5,R{H*7GJ}ZZ,584,On
Sun, 223.75,6,D{L*6YI}UL,1764,On
Sun,1059.34,8,Q{V*8KZ}TG,1718,On
Breeze, 110.79,8,T{F*4AO}FQ,2236,On
Fog, 935.27,8,K{L*8LHTNY,1841,On
Fog, 978.95,8,M{N*20W}KQ,1263,Off
Shower,  51.52,6,I{S*1LJ}AD,1923,On
Hail, 614.79,8,C{Q*2YF}TT,1845,On
Sun, 533.80,7,N{O*2SY}QP,1654,On
Fog,1170.23,8,V{Y*3CF}OW,1948,On
Fog, 940.88,6,Z{B*1HU}GO,2089,On
Sleet, 858.27,6,S{T*9OT}AY,637,On
Sun,1115.13,5,G{Q*8Y0}PX,1662,On
Cloud, 584.58,7,G{P*5WV}MG,887,On
Snow, 961.81,6,G{C*4UR}VA,1853,Off
Cloud, 144.04,6,W{R*6EC}EB,795,On
Snow, 836.83,18,U{R*6TMZP,1400,On
Sleet, 342.48,7,I{P*5KI}XL,223,On
Snow, 787.91,5,R{O*2IM}EZ,484,On
Cloud, 892.92,10,F{V*1IIAEY,231,On
Fog, 998.10,7,F{*3KM}CL,1960,On
Breeze,1024.97,14,P{O*5KM}II,2203,On
Mist,1108.74,8,D{R*2VH}CE,404,On
Moon, 147.58,8,B{W*0DK}WE,518,On
Shower, 978.57,6,O{K*2FS}MU,20,On
Shower, 813.25,5,P{S*4Y%}II,1861,On
Hail, 376.02,8,X{M*8UA}LW,2278,Off
Sun,  35.49,6,I{J*9TW}RN,1781,On
Breeze, 154.12,7,Z{K*1PA}SL,1398,On
Snow,1075.66,7,P{J*0QN}LO,1565,Off
Cloud, 595.80,7,R{Z*6PG}ZE,1983,Off
Fog, 258.89,6,Q{S*5CA}XT,129,Off
Rain, 960.45,5,X{P*6JL}ZK,1556,On
Fog, 553.79,6,X{J*0J4}GE,1799,On
Rain, 241.57,8,Z{R*4CV}TG,698,On
Wind, 171.35,6,U{O*8KS}UO,1038,On
Hail, 748.85,7,R{W*1VD}VE,1124,On
Breeze,1126.35,10,O{P*62VP}XX,2052,On
Snow,1001.69,8,Y{F*0RM}WN,679,On
Sky, 613.51,8,L{H*1TL}TJ,898,On
Rain, 522.61,6,A{B*2QL}ZH,2133,On
Shower, 780.53,5,G{T*6ZN}HS,1862,On
Snow, 582.13,5,X{M*4EP}JR,1422,On
Moon, 369.33,6,U{X*3SW}TJ,535,On
Moon, 996.13,22,V{W*6UB}WT,2008,Off
Fog, 711.64,5,F{B*6BF}NI,734,On
Fog, 177.09,8,H{T*1RO}SV,1187,On
Cloud,1207.69,5,L{T*6CP}VI,821,On
Cloud, 783.38,7,D{F*0AO}LT,661,On
Wind, 394.20,5,Z{B*1Y}RT,2191,On
Wind,1175.11,6,B{F*9SB}GK,1875,On
Fog,1193.24,7,RJ*9ZP}LE,1851,On
Hail,1071.15,8,F{X*2BK}HB,2273,Off
Fog,1152.67,7,F{F*0ST}FG,354,Off
Wind,1048.52,6,E{Y*8ZN}LY,368,On
Sun, 661.78,13,V{M*0EI}KS,1279,Off
Sleet, 793.23,20,W{R*5QA}TP,2015,Off
Moon,1087.72,6,R{T*8VF}JX,694,On
Wind,  34.30,6,P{W*6EY}CE,323,On
Fog, 150.93,7,I{X*9TR}GJ,1613,On
Fog, 706.81,19,W{V*9M0}ZR,940,On
Sun, 884.55,5,I{T*9KU}UJ,1386,Off
Shower,1107.88,13,K{S*2QU}YW,545,On
Hail,1083.26,8,X{O*5CK}XG,1508,On
Cloud,1045.71,21,F{L*1QL}QP,1586,On
Fog, 436.02,8,C{B*5AG}VD,1735,On
Cloud, 948.10,5,L{L*7B2}NL,1707,Off
Wind, 218.79,6,Z{V*0BB}SB,1879,On
Fog, 142.90,13,u{Q*6RX}SF,1524,On
Wind, 900.09,5,D{O*0SW}UL,247,On
Fog, 121.24,7,E{S*1TY}NA,1445,Off
Sun, 603.60,6,A{J*3JY}uN,1464,On
Mist,  42.39,5,F{O*3HU}VF,2011,On
Fog,1143.48,9,L{L*7LW}CJ,106,On
Sleet,1032.19,16,K{F*9BQ}BQ,2111,On
Cloud, 781.72,8,B{W*8RG}PN,1807,On
Fog,1131.99,14,I{I*0TP}RN,2148,On
Rain, 231.70,5,Q{K*4ID}BA,1423,On
Fog,1043.57,8,R{Q*4UH}ZH,609,On
Fog, 884.11,6,WJ*4GG}CK,1163,Off
Snow, 285.46,7,E{Y*6GJ}JU,1291,On
Sun, 783.90,8,H{Y*4JS}NW,1565,Off
Cloud, 663.20,12,V{B*0HV}TB,745,On
Sun,1043.37,5,S{F*1JA}BS,2164,Off
Sun, 475.63,8,I{B*4YP}KD,1546,On
Snow,  89.08,6,E{U*3RI}HP,158,Off
Rain, 435.44,6,D{E*8GG}WV,324,On
Sun, 916.36,17,I{D*5MT}ED,1222,On
Shower, 263.76,7,F{A*1WX}JA,2095,On
Shower,1114.60,5,R{N*5EY}SS,944,Off
Hail, 395.12,6,X{K*2BP}LG,912,Off
Snow, 476.26,8,K{R*3AG}WV,721,On
Rain, 891.77,5,D{A*4AO}YS,1490,Off
Snow, 139.82,8,W{K*6BY}RP,1499,On
Sun, 637.69,16,V{Z*1PE}EF,2062,On
Breeze, 889.92,7,Z{C*3VF}JM,620,On
Cloud, 846.90,5,C{D*8GA}PT,893,On
Rain,1040.58,15,R{G*9SY}XR,2256,On
Rain,1211.95,7,V{B*2NV}MX,1175,On
Cloud, 906.49,15,E{S*7HO}OV,252,Off
Fog,1220.52,5,Z{Q*8OL}CS,1997,Off
Snow, 970.07,7,A{Z*7XG}WW,2119,On
Shower, 170.48,8,I{P*7Qn}VS,2232,On
Wind, 641.49,8,U{N*3K}}KM,2223,On
Rain, 304.42,7,V{W*4EN}LY,1727,On
Sleet, 956.55,6,S{A*2MY}LV,1845,On
Breeze,1205.37,15,D{F*3IS}VZ,1705,On
Shower, 319.89,7,F{O*8AI}ZK,2092,Off
Fog, 296.23,5,B{K*3FE}IU,1355,On
Cloud, 317.15,6,G{N*4UT}RD,1488,Off
Fog, 255.77,6,O{F*2XQ}LT,1214,On
Rain, 878.19,7,S{U*2GL}DX,1792,On
Rain, 163.35,7,B{N*4RQ}NN,322,On
Shower, 490.68,7,A{U*2NJ}XN,883,On
Wind, 633.44,5,P{C*2MY}XI,2204,On
Cloud,  22.74,16,E{U*7OK}DP,1941,On
Mist,  81.11,8,C{U*4WI}OJ,1805,Off
Rain, 218.98,7,G{L*2KV}UA,2116,On
Breeze, 573.27,20,D{E*1SJ}TU,1411,On
Moon,1217.24,8,M{C*4iT}NL,1830,On
Wind, 681.16,8,E{L*8KH}UZ,1892,On
Sun, 539.85,18,I{D*4J}WI,2052,On
Rain, 954.08,6,S{G*1NK}UH,1879,On
Snow, 871.83,5,X{D*3LZ}RH,1574,On
Sleet, 589.94,8,N{R*0ON}NB,17,On
Rain, 850.87,5,A{I*9WY}WP,679,On
Shower, 907.60,7,P{J*0IX}LJ,1449,On
Mist,1131.50,9,T{W*2OV}KS,465,On
Wind, 849.61,6,L{P*4TV}SC,2118,On
Cloud, 484.48,8,Z{C*0UB}KU,1534,On
Sun, 929.60,20,X{U*0BN}PY,498,On
Sun, 991.31,8,W{I*2JZ}XG,1857,On
Fog,1189.72,8,I{K*9ZR}FS,242,On
Fog, 895.23,12,K{W*3EI}OQ,1455,On
Cloud, 383.40,6,H{Q*5TT}AX,1778,On
Fog, 144.87,5,J{Z*3HJ}FE,1688,On
Mist, 820.65,6,Z{L*6ZH}WR,1189,On
Fog, 651.73,7,J{K*5BN}VX,1581,On
Cloud, 784.79,5,Z{C*7KC}FS,1519,On
Fog,1191.07,5,F{J*2XA}EW,287,On
Wind, 883.00,8,I{C*8TT}OU,1820,On
Rain,1070.27,6,FnN*0WV}FU,811,Off
Mist, 953.12,11,W{Y*7DV}VP,1199,Off
Cloud, 716.12,16,bQ{S*4TJ}IH,1873,On
Fog, 873.08,6,G{J*7JX}OK,1365,On
Cloud,1205.75,10,Q{H*1RS}DF,1946,On
Sun, 448.09,7,F{H*8ZL}PI,2235,On
Fog,  25.62,7,I{C*2ZO}LO,1688,On
Shower, 925.36,5,O{W*46XA}SA,1681,On
Rain, 831.63,8,AO*2CJ}QB,617,Off
Sun, 956.93,14,I{W*1LN}(A,1794,On
Fog, 739.86,6,X{D*2LU}XX,1165,On
Fog, 723.63,5,A{L*0OI}SK,1228,On
Shower,1166.24,10,V{Q*3XX}DQ,1841,On
Fog, 125.59,6,E{M*5KX}DZ,1847,On
Sky, 767.71,7,M{X*6YW}PF,1441,On
Cloud, 480.65,15,V{B*4RW}KO,923,Off
Fog,1101.52,23,J{C*42ET}XT,1912,On
Rain, 641.78,15,Y{X*6SD}RH,15,On
Cloud,1139.62,15,H{%*6PW}HS,1077,Off
Wind, 697.70,7,J{M*6FH}ZS,362,Off
Rain, 354.14,7,E{Q*5BG}qW,642,On
Breeze,1115.57,7,Q{Y*3YT}KA,2148,On
Rain, 495.18,6,L{M*5UO}PY,1603,On
Sleet, 966.69,7,X{P*2MQ}HM,173,On
Wind, 495.52,9,G{A*7IZ}MH,68,On
Cloud, 757.00,8,O{B*9UO}YV,933,On
Cloud, 199.72,23,Z{C*3KJ}TO,1317,On
Snow, 435.44,6,N{N*3TN}VH,1130,On
Cloud, 197.53,6,E{Y*8WV}PD,2229,On
Rain,1130.52,7,G{K*9UD}QI,1330,On
Sleet, 754.80,8,D{V*7TE}TJ,833,On
Sun,1186.96,7,W0A*6WJ}CG,1305,On
Rain, 323.70,8,C{X*8LY}EM,1010,On
Snow,1177.59,19,M{M*7CX}MX,2268,On
Fog, 432.26,19,I{Q*6EX}WU,702,On
Fog, 340.64,7,M{E*4SD}TD,1412,On
Cloud, 618.80,20,O{K*7PO}BR,1247,On
Snow, 949.32,23,J{M*3FH}TY,1273,On
Fog, 791.32,15,Q{D*9GG}DL,1449,On
Fog, 200.26,5,K{G*6KB}CI,1087,On
Sun, 100.85,8,P{H*1OW}NG,1427,Off
Fog,1161.09,6,Y{T*3HO}CQ,2003,On
Sun,1068.82,6,X{S*9ZU}UP,1581,On
Sleet,1081.75,7,M9Q*3PI}VM,1957,On
Rain, 976.95,8,L{W*8WW}HR,1471,On
Rain, 957.03,6,M{U*3EY}BG,1755,On
Sleet, 999.51,8,S{T*3QR}LP,100,On
Shower, 940.15,7,J{M*9BE}AI,1701,On
Hail, 989.34,6,W{U*6SA}WD,1422,On
Snow, 851.48,6,E{T*7TV}GR,924,On
Shower, 813.47,16,C{K*5WU}GE,1837,On
Breeze, 282.29,5,%{E*8DF}RO,1967,Off
Wind,1074.70,11,E{Y*8NF}BC,574,On
Wind, 339.36,5,U{E*1WJ}LB,1815,On
Cloud, 121.94,5,U{V*0OA}AV,1473,On
Sleet, 765.56,6,H{Vb8ZH}XO,1706,Off
Cloud, 241.01,8,A{Q*9AY}KJ,2181,Off
Fog, 677.11,21,W{B*MX}VK,96,On
Fog, 760.97,6,U{R*2YK}DQ,153,On
Rain,1015.23,20,U{Q*2IH}MA,1977,On
Cloud, 958.47,6,U{D*7WW}FC,699,Off
Moon,1050.86,6,P{V*2PK}ER,459,On
Shower, 947.30,12,C{F*0FQ}VC,2237,On
Fog, 951.77,7,U{K*0DM}QR,1613,On
Fog, 972.94,8,I{X*6JV}II,310,On
Fog, 697.73,19,V{Q*5MF}MB,188,Off
Snow, 856.18,8,C{D*(TJ}SC,593,On
Cloud, 813.49,7,E{gN*6CG}YJ,1802,On
Sun, 202.90,6,S{A*TRU}BV,1628,Off
Sun, 407.37,7,A{I*3GY}ZK,991,On
Cloud, 908.86,6,S{K*4DW}RF,1671,On
Moon,1199.79,6,Q{P*5EO}TD,806,On
Breeze, 333.19,7,H{J*4OP}FI,1584,On
Moon, 610.19,10,D{Z*6JN}LE,2276,Off
Sky,  72.39,6,W{W*3MS}LG,2233,On
Breeze,1085.29,7,H{H*4UY}WI,1973,On
Fog, 520.19,5,P{L*2JX}MW,2021,On
Fog, 791.13,6,S{G*1FM}ME,2011,Off
Cloud, 412.77,5,I{A*8NT}KK,1882,On
Rain, 929.23,18,M{Q*9MV}TU,1639,On
Rain, 749.96,5,S{Z*2QR}NF,1661,On
Sleet, 134.54,6,R{M*1WM}XR,1810,Off
Rain, 276.95,8,U{8*6JC}EZ,445,On
Sun, 988.18,8,V{N*8GV}XE,1013,On
Cloud, 571.76,8,R{Q*1LV}FN,508,On
Fog, 463.17,8,F{W*3BU}TZ,2258,Off
Shower, 999.17,7,Q{G*5HH}OD,2002,On
Rain,  55.48,6,E{*1XO}ML,1581,On
Wind, 699.34,6,C{K*9WJ}TB,2227,Off
Fog,1172.64,8,E{I*8AT}YW,1601,Off
Sun,1057.65,7,U{I*9WU}SQ,788,On
Fog, 934.71,6,Z{Q*4JD}UR,1966,On
Hail, 964.07,7,K{W*3XX}JQ,1284,On
Mist, 340.22,8,S{F*4BY}YF,2175,On
Shower, 832.96,7,L{E*1OI}YL,553,On
Sleet,1164.69,5,L{E*4CB}VK,1769,On
Fog, 390.89,6,O{G*8WK}SZ,1285,Off
Mist,1163.66,5,T{Q*2XT}XL,968,On
Fog, 429.49,8,Y{E*5PU}VV,50,On
Cloud,1064.05,6,N{R*1BW}kSN,2250,On
Cloud,  56.78,8,C{I*1Cl}QP,89,On
Sun, 567.66,8,K{Q*9KK}+Y,1412,On
Snow,1220.26,8,GPX*0XT}EW,488,Off
Breeze, 164.66,8,A{O*7ZM}JO,175,On
Breeze, 406.05,5,F{W*7FJ}KC,1647,On
Wind, 688.36,8,B{E*5VD}XZ,970,On
Mist,1187.71,22,J{Y*2LX}CG,2037,On
Fog, 968.74,8,H{Z*9PX}JI,715,Off
Shower,1113.74,8,H{M*WRU}LA,1166,On
Snow, 103.03,22,O{D*4YS}GG,1464,On
Breeze,1206.00,8,M{N*9HS}JR,1541,On
Shower,1057.04,5,X{A*6TW}YL,512,On
Sleet,1009.17,13,Z{N*4TU}IU,17,On
Snow, 171.39,6,X{F*s3LD}YI,1740,On
Fog, 789.02,6,Q{Z*3OK}PC,2166,On
Fog,  55.02,6,F{{N*8DT}CY,2298,On
Mist, 903.43,6,C{y*3HP}FL,1472,On
Cloud, 382.99,6,E{N*7GT}HH,1714,On
Sky,1114.05,7,W{R*0UY}LV,1606,On
Sun, 745.65,8,Z{Q*5VY}LX,1837,On
Rain, 769.95,8,Z{V*8NX}FY,1767,Off
Cloud, 984.95,8,C{K*2MP}PX,1588,On
Fog, 201.42,6,zP{Z*4VN}JE,2230,On
Fog, 865.37,5,H{P*4QO}VF,1978,On
Cloud, 743.90,6,Y<{M*7LD}JI,1882,Off
Snow, 697.41,7,I{B*1QA}EA,744,On
Sleet, 983.85,6,H{S*4JD}GF,1688,On
Shower, 926.15,6,E{*1MK}LI,1636,On
Snow, 413.37,10,N{G*9DH}AF,1384,Off
Sleet, 461.32,24,B{E*7OJ}JA,365,On
Cloud, 801.66,7,S{T*1BF}HX,1084,On
Wind, 698.79,7,Z{J*9DW}IP,759,On
Rain,1116.27,14,T{R*6BS}ZS,2011,Off
Shower, 682.04,8,VkH*9AN}FF,1517,On
Breeze,  62.76,20,F{O*2FC}DE,2134,Off
Cloud, 950.53,24,8{T*7DV}MB,1518,On
Sun, 870.30,6,A{K*3OF}NG,1882,On
Shower,  96.86,6,S{N*2BY}GK,1634,On
Breeze, 424.14,8,N{Q*6WG}%J,228,On
Cloud, 105.17,7,J{O*5DJ}HG,2083,On
Rain,1016.86,17,P{G*0U4}VF,1356,On
Rain, 686.38,6,N{Z*3AU}KO,1139,On
Sleet, 321.30,22,P{G12PZ}QM,1628,On
Mist, 634.98,6,H{S*4IL}ZI,1108,Off
Shower,  39.28,5,K{R*7TR}RB,305,On
Rain, 917.14,8,W{Y*8WO}ZL,1466,On
Breeze,  34.43,7,O{N*9IP}VK,515,On
Breeze, 949.14,7,E{J*9WV}VJ,381,On
Snow, 508.53,8,K{V*1NC}CZ,1970,On
Moon, 524.49,6,Y{E*1OY}QD,343,On
Fog, 163.69,6,N{Y*7HN}BB,49,On
Cloud, 770.24,8,U{F*3VR}XI,454,On
Fog, 457.55,5,H{I*5LK}BQ,327,Off
Fog, 699.96,15,I{B*&SO}NS,1019,On
Sleet,1182.58,8,H{J*7ZP}FU,2015,On
Sun, 992.43,8,C{K*TPJ}WM,1602,On
Sun, 962.38,7,I{H*6PA}NE,1425,On
Cloud, 544.71,7,X{L*6TO}ZM,1793,On
Cloud,1169.02,8,W{I*7KH}YP,178,On
Rain,1096.64,8,D{T*3AN}RY,1802,On
Cloud,1003.53,20,L{Q*0SO}LT,1423,On
Sun, 168.93,8,M{V*5UE}RY,96,On
Fog, 373.00,12,Q{M*1DU}VD,1201,On
Moon, 401.88,8,v{Q*3VP}BN,1446,On
Snow, 913.59,7,O{M*8GL}ML,1205,On
Hail,1045.14,6,P{B*1AA}PB,1794,On
Fog, 813.91,7,T{T*3SH}DX,1748,On
Rain, 247.01,5,O{I*8BJ}XT,326,On
Hail, 240.61,7,C{Yb5UW}DL,1407,Off
Fog,  85.02,6,O{E*UT}VX,2204,On
Sun,1042.81,5,V{O*0LM}GT,1444,On
Moon, 111.75,8,F{Y*6ZM}LX,704,On
Shower, 504.11,7,C{W*7JI}MM,116,Off
Sun,1191.15,8,T{A*0VV}SQ,2016,Off
Breeze, 206.40,12,D{B*4YJ}TG,1163,Off
Fog, 323.91,10,W{U*3TH}ZE,1242,On
Fog, 734.02,13,U{C*6JW}KT,212,On
Cloud,1207.65,6,B{S*2+R}DL,1049,On
Sleet, 810.56,5,V{E*3XH}OJ,549,On
Sky,1181.88,21,T{E*5QK}SZ,576,On
Shower, 783.62,8,K{T*6BK}LF,2273,On
Shower,1009.49,8,H{R*1RZ}NV,1659,On
Fog,1096.42,8,Z{H*0Q}OU,2226,On
Rain,1110.19,5,F{H*4Y4}RG,1983,On
Fog, 899.61,7,W{N*4GP}EK,1577,On
Cloud, 753.52,7,A{I*0BM}EQ,1881,On
Rain, 685.15,18,J{U*0GZ}QT,779,Off
Snow, 731.91,23,I{X*0EG}MX,2073,On
Rain,  38.94,5,E{I*6SZ}WR,1937,On
Shower, 523.33,9,Q{J*9JY}FH,2111,On
Sleet, 482.18,5,Y{M*6RE}Z,1119,On
Sun, 216.71,8,V{V*5ON}KX,1326,On
Cloud,  16.27,7,U{A*0DY}GN,2269,On
Breeze, 979.91,6,K{D*9RO}VS,1852,On
Wind, 174.28,5,Q{E*1WF}JV,1379,On
Snow, 990.58,7,B{Q*5TF}IE,141,On
Cloud, 504.23,15,B{B*3DU}VR,102,On
Wind,  49.37,8,U{D*9RK}NZ,1365,On
Cloud,1095.17,5,J{2*4HA}RJ,1564,Off
Cloud, 374.52,7,B{Q*6PF}PU,76,On
